from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,,,,,,,,
8.48687,124.631,8.47617,124.643,113,70,62,1,1,1,1,4,3,,,,,,,,
8.47506,124.638,8.48678,124.647,117,105,71,1,1,1,2,2,2,,,,,,,,
8.48679,124.647,8.50939,124.645,104,109,56,1,1,1,1,1,1,,,,,,,,
8.48358,124.645,8.48276,124.646,110,44,46,1,1,1,2,1,1,,,,,,,,
8.4813,124.645,8.50311,124.64,114,113,57,1,1,1,2,1,1,,,,,,,,
8.48693,124.631,8.47661,124.638,113,59,52,1,1,1,2,4,4,,,,,,,,
8.46596,124.617,8.40216,124.573,144,260,72,1,1,1,2,2,2,,,,,,,,
8.47256,124.647,8.47407,124.614,121,149,95,1,1,1,2,1,1,,,,,,,,
8.47753,124.586,8.48409,124.596,106,45,46,1,1,1,1,2,1,,,,,,,,
8.48902,124.64,8.49614,124.641,111,48,48,1,1,1,2,1,1,,,,,,,,
8.46569,124.626,8.4706,124.644,116,63,56,1,1,1,1,2,2,,,,,,,,
8.47779,124.643,8.47667,124.646,110,44,45,1,1,1,2,1,1,,,,,,,,
8.47313,124.638,8.45889,124.625,119,112,65,1,1,1,2,1,1,,,,,,,,
8.4832,124.594,8.48154,124.592,125,44,45,1,1,1,2,1,1,,,,,,,,
8.4982,124.615,8.49903,124.616,108,44,44,1,1,1,1,1,1,,,,,,,,
8.48099,124.637,8.47827,124.628,123,65,60,1,1,1,2,1,1,,,,,,,,
8.45488,124.641,8.42432,124.609,106,216,62,1,1,1,2,1,1,,,,,,,,
8.46604,124.632,8.44666,124.631,101,57,47,1,1,1,2,1,1,,,,,,,,
8.43984,124.566,8.47292,124.62,109,56,61,1,1,1,2,4,2,,,,,,,,
8.46303,124.607,8.4725,124.651,122,124,105,1,1,1,2,7,6,,,,,,,,
8.49302,124.632,8.50342,124.603,118,118,51,1,1,1,2,1,1,,,,,,,,
8.48671,124.647,8.48633,124.648,112,46,46,1,1,1,2,1,1,,,,,,,,
8.40447,124.566,8.40621,124.57,141,45,46,1,1,1,1,1,1,,,,,,,,
8.46306,124.612,8.46416,124.611,96,45,45,1,1,1,1,1,1,,,,,,,,
8.48473,124.638,8.50453,124.621,123,125,56,1,1,1,2,1,1,,,,,,,,
8.46031,124.633,8.46612,124.632,102,44,46,1,1,1,1,1,1,,,,,,,,
8.48101,124.637,8.48678,124.647,119,79,60,1,1,1,2,2,1,,,,,,,,
8.47666,124.628,8.47003,124.645,123,80,60,1,1,1,1,3,2,,,,,,,,
8.50656,124.635,8.48322,124.638,110,70,57,1,1,1,2,1,2,,,,,,,,
8.47724,124.65,8.47696,124.651,112,45,46,1,1,1,1,1,1,,,,,,,,
8.50385,124.608,8.486,124.6,115,57,49,1,1,1,2,1,1,,,,,,,,
8.50476,124.639,8.49464,124.652,110,55,48,1,1,1,1,1,1,,,,,,,,
8.48373,124.597,8.51252,124.623,127,85,64,1,1,1,1,3,2,,,,,,,,
8.47856,124.627,8.3972,124.557,165,327,263,1,1,1,2,2,2,,,,,,,,
8.47293,124.616,8.46881,124.588,135,80,61,1,1,1,2,1,1,,,,,,,,
